model,concepts,version,label,csv_path,save_dir,epochs,lr,hidden_dim,num_layers,batch_size,train_size,seed,include_delta_t,irregular_timestamps,irregular_window_time,irregular_n_trials,time_steps_path
lstm_dkt,2,10,c2_v10_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v10.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v10_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,11,c2_v11_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v11.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v11_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,12,c2_v12_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v12.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v12_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,13,c2_v13_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v13.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v13_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,14,c2_v14_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v14.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v14_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,15,c2_v15_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v15.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v15_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,16,c2_v16_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v16.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v16_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,17,c2_v17_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v17.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v17_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,18,c2_v18_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v18.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v18_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,2,19,c2_v19_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c2_q50_s4000_v19.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c2_v19_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,0,c5_v00_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v0.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v00_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,1,c5_v01_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v1.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v01_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,2,c5_v02_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v2.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v02_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,3,c5_v03_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v3.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v03_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,4,c5_v04_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v4.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v04_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,5,c5_v05_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v5.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v05_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,6,c5_v06_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v6.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v06_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,7,c5_v07_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v7.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v07_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,8,c5_v08_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v8.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v08_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,9,c5_v09_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v9.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v09_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,10,c5_v10_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v10.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v10_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,11,c5_v11_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v11.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v11_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,12,c5_v12_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v12.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v12_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,13,c5_v13_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v13.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v13_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,14,c5_v14_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v14.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v14_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,15,c5_v15_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v15.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v15_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,16,c5_v16_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v16.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v16_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,17,c5_v17_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v17.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v17_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,18,c5_v18_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v18.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v18_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
lstm_dkt,5,19,c5_v19_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,/home/atiwari/Annealing_Experiment/syntheticKT/naive_c5_q50_s4000_v19.csv,/home/atiwari/Annealing_Experiment/SyntheticDKTResults/LSTM_Results_Irregular_48/c5_v19_delta_t_irregular_epochs-300_lr-0.001_hidden-64_layers-1,300,0.001,64,1,64,1600,32,True,True,48.0,100,Experiments/shared_synthetic_kt_irregular_times_q50_window-48p0_seed-32.pt
